"TIME","GEO","GEO_LABEL","INDIC_DE","Value"
"2001","BG","Bulgaria","Deaths - total","112 368"
"2001","BG","Bulgaria","Natural change of population","-44 188"
"2001","BG","Bulgaria","Net migration plus statistical adjustment","-236 465"
"2001","BG","Bulgaria","Total population change","-280 653"
"2001","BG","Bulgaria","Crude birth rate","8.5"
"2001","BG","Bulgaria","Crude death rate ","14.0"
"2001","BG","Bulgaria","Crude rate of natural change of population","-5.5"
"2001","BG","Bulgaria","Crude rate of net migration plus statistical adjustment","-29.5"
"2001","BG","Bulgaria","Crude rate of total population change","-35.0"
"2001","CZ","Czechia","Population on 1 January - total ","10 232 027"
"2001","CZ","Czechia","Live births - total","90 715"
"2001","CZ","Czechia","Deaths - total","107 755"
"2001","CZ","Czechia","Natural change of population","-17 040"
"2001","CZ","Czechia","Net migration plus statistical adjustment","-13 805"
"2001","CZ","Czechia","Total population change","-30 845"
"2001","CZ","Czechia","Crude birth rate","8.9"
"2001","CZ","Czechia","Crude death rate ","10.5"
"2001","CZ","Czechia","Crude rate of natural change of population","-1.7"
"2001","CZ","Czechia","Crude rate of net migration plus statistical adjustment","-1.4"
"2001","CZ","Czechia","Crude rate of total population change","-3.0"
"2001","DK","Denmark","Population on 1 January - total ","5 349 212"
"2001","DK","Denmark","Live births - total","65 458"
"2001","DK","Denmark","Deaths - total","58 338"
"2001","DK","Denmark","Natural change of population","7 120"
"2001","DK","Denmark","Net migration plus statistical adjustment","12 022"
"2001","DK","Denmark","Total population change","19 142"
"2001","DK","Denmark","Crude birth rate","12.2"
"2001","DK","Denmark","Crude death rate ","10.9"
"2001","DK","Denmark","Crude rate of natural change of population","1.3"
"2001","DK","Denmark","Crude rate of net migration plus statistical adjustment","2.2"
"2001","DK","Denmark","Crude rate of total population change","3.6"
"2001","DE","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","82 259 540"
"2001","DE","Germany (until 1990 former territory of the FRG)","Live births - total","734 475"
"2001","DE","Germany (until 1990 former territory of the FRG)","Deaths - total","828 541"
"2001","DE","Germany (until 1990 former territory of the FRG)","Natural change of population","-94 066"
"2001","DE","Germany (until 1990 former territory of the FRG)","Net migration plus statistical adjustment","274 835"
"2001","DE","Germany (until 1990 former territory of the FRG)","Total population change","180 769"
"2001","DE","Germany (until 1990 former territory of the FRG)","Crude birth rate","8.9"
"2001","DE","Germany (until 1990 former territory of the FRG)","Crude death rate ","10.1"
"2001","DE","Germany (until 1990 former territory of the FRG)","Crude rate of natural change of population","-1.1"
"2001","DE","Germany (until 1990 former territory of the FRG)","Crude rate of net migration plus statistical adjustment","3.3"
"2001","DE","Germany (until 1990 former territory of the FRG)","Crude rate of total population change","2.2"
"2001","EE","Estonia","Population on 1 January - total ","1 392 720"
"2001","EE","Estonia","Live births - total","12 632"
"2001","EE","Estonia","Deaths - total","18 516"
"2001","EE","Estonia","Natural change of population","-5 884"
"2001","EE","Estonia","Net migration plus statistical adjustment","-3 326"
"2001","EE","Estonia","Total population change","-9 210"
"2001","EE","Estonia","Crude birth rate","9.1"
"2001","EE","Estonia","Crude death rate ","13.3"
"2001","EE","Estonia","Crude rate of natural change of population","-4.2"
"2001","EE","Estonia","Crude rate of net migration plus statistical adjustment","-2.4"
"2001","EE","Estonia","Crude rate of total population change","-6.6"
"2001","IE","Ireland","Population on 1 January - total ","3 832 783"
"2001","IE","Ireland","Live births - total","57 854"
"2001","IE","Ireland","Deaths - total","30 212"
"2001","IE","Ireland","Natural change of population","27 642"
"2001","IE","Ireland","Net migration plus statistical adjustment","39 277"
"2001","IE","Ireland","Total population change","66 919"
"2001","IE","Ireland","Crude birth rate","15.0"
"2001","IE","Ireland","Crude death rate ","7.8"
"2001","IE","Ireland","Crude rate of natural change of population","7.1"
"2001","IE","Ireland","Crude rate of net migration plus statistical adjustment","10.2"
"2001","IE","Ireland","Crude rate of total population change","17.3"
